Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Rata-rata Lama Sekolah (Tahun)
Puncak Jaya,4.03
Mimika,10.2
Boven Digoel,9.03
Mappi,6.78
Asmat,5.36
Yahukimo,4.28
Pegunungan Bintang,3.23
Tolikara,3.67
Sarmi,9.15
Keerom,8.31
Waropen,9.4
Supiori,9.09
Mamberamo Raya,6.12
Nduga,1.58
Lanny Jaya,3.59
Mamberamo Tengah,3.48
Yalimo,3.19
Puncak,2.17
Dogiyai,4.96
Intan Jaya,3.26
Deiyai,3.26
Kota Jayapura,11.74
PAPUA SELATAN,-
Merauke,-
Boven Digoel,-
Mappi,-
Asmat,-
PAPUA TENGAH,-
Mimika,-
Dogiyai,-
Deiyai,-
Nabire,-
Paniai,-
Intan Jaya,-
Puncak,-
Puncak Jaya,-
PAPUA PEGUNUNGAN,-
Nduga,-
Jayawijaya,-
Lanny Jaya,-
Tolikara,-
Mamberamo Tengah,-
Yalimo,-
Yahukimo,-
Pegunungan Bintang,-
INDONESIA,8.69
