Provinsi,Tahun,Pengeluaran_Makanan,Pengeluaran_Bukan_Makanan,Total_Pengeluaran,UMP,TPT,TPAK,PDRB_HargaBerlaku,PDRB_HargaKonstan,Pct_Penduduk_Miskin,Inflasi_Rata_Tahunan,Gini_Rasio,IPM,Garis_Kemiskinan,Jumlah_Penduduk,Pct_Populasi,Kepadatan_Penduduk,Rasio_Jenis_Kelamin,Laju_Pertumbuhan_Penduduk,Pct_Akses_Air_Bersih,Protein_gram_per_hari,Kalori_kkal_per_hari,Inflasi_WB_Annual,GDP_PerCapita_PPP,Pct_Unemployment_WB,Poverty_Headcount_Pct,Indeks_Kedalaman_Kemiskinan,Total_Kendaraan,NTP,Pct_Kepemilikan_HP,Pct_Sanitasi_Layak,Pct_Pekerja_Formal,Rerata_Lama_Sekolah,Realisasi_Investasi_PMDN
Bali,2022,609855.33,832754.43,1442609.77,2516971.0,4.82,77.0,56092.96,34481.06,4.57,0.45,0.3625,76.44,489030.0,4343.4,1.6,790.0,101.1,1.29,98.42,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,0.5900000000000001,4626094.0,95.41666666666664,72.82,95.94,46.57,9.39,6002.1
Banten,2022,830110.79,789460.92,1619571.71,2501203.0,8.31,64.9,61413.54,39790.24,6.16,0.45,0.37,73.32,567890.75,12023.0,4.44,1310.0,103.8,1.66,92.71,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,0.91,2862515.0,99.53166666666668,70.25,85.12,52.04,9.13,31283.9
Bengkulu,2022,626208.94,570274.83,1196483.76,2238094.0,3.49,70.65,43756.98,24238.47,14.62,0.45,0.315,72.16,624996.0,2032.4,0.75,102.0,104.6,1.4,73.07,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,2.3,1127170.0,134.14000000000001,66.81,79.58,32.46,8.91,6957.3
DI Yogyakarta,2022,628844.56,851529.72,1480374.28,1840916.0,3.895,73.64,44638.79,30410.57,11.34,0.45,0.449,80.64,513521.5,3687.8,1.36,1186.0,98.0,1.44,96.5,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,1.77,3112170.0,98.40583333333335,70.37,96.21,46.62,,2275.0
DKI Jakarta,2022,953320.89,1572026.48,2525347.37,4641854.0,7.59,62.675,299674.73,183598.47,4.69,0.45,0.4175,81.65,756162.5,10605.4,3.87,16158.0,101.4,0.64,97.93,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,0.7250000000000001,21911811.0,103.71250000000002,82.27,92.79,63.12,11.31,89223.6
Gorontalo,2022,534461.48,608535.25,1142996.73,2800580.0,2.915,68.345,39690.94,25268.51,15.42,0.45,0.4205,69.81,423046.75,1183.5,0.43,99.0,101.8,1.02,96.16,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,2.9450000000000003,490928.0,103.34250000000002,67.73,79.82,35.03,8.02,1113.5
Jambi,2022,663020.58,598816.2,1261836.78,2698941.0,4.645,68.35,76224.16,44515.14,7.62,0.45,0.3275,72.14,591335.25,3586.4,1.32,74.0,103.8,1.33,79.19,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,1.18,2572804.0,135.14083333333335,69.64,79.54,40.02,8.68,8882.7
Jawa Barat,2022,708389.69,729004.43,1437394.12,1841487.0,8.33,66.23,49136.9,32246.78,8.06,0.45,0.4145,73.12,465678.0,48738.8,17.92,1334.0,103.0,1.33,93.04,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,1.28,17600134.0,99.73333333333335,70.37,74.02,45.39,8.78,80808.3
Jawa Tengah,2022,572808.11,548985.75,1121793.86,1812935.0,5.66,71.44,41934.46,28248.16,10.93,0.45,0.37,72.79,451650.25,36811.1,13.43,1078.0,101.1,0.81,93.32,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,1.76,19534880.0,104.05583333333334,65.15,84.37,39.84,7.93,24992.3
Jawa Timur,2022,600847.63,564290.28,1165137.91,1891567.0,5.15,71.11,66248.49,42635.84,10.38,0.45,0.368,72.75,473160.5,40921.1,14.92,857.0,99.5,0.68,95.05,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,1.62,23605425.0,102.47166666666669,65.22,81.13,36.14,8.03,65355.9
Kalimantan Barat,2022,666065.89,566552.33,1232618.22,2434328.0,4.985,69.355,46092.06,26734.57,6.73,0.45,0.3125,68.63,545080.75,5474.7,2.01,38.0,105.5,1.33,80.43,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,1.07,2903952.0,141.40249999999997,64.69,77.41,41.23,7.59,9382.9
Kalimantan Selatan,2022,727960.88,679758.06,1407718.94,2906473.0,4.47,68.595,60213.03,34132.71,4.49,0.45,0.313,71.84,566559.25,4116.9,1.52,113.0,102.4,1.51,76.18,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,0.63,2881340.0,107.37833333333333,70.51,82.55,42.7,8.46,12310.4
Kalimantan Tengah,2022,762633.94,679661.3,1442295.24,2922516.0,4.23,67.085,72973.14,39856.48,5.28,0.45,0.314,71.63,562703.5,2700.1,0.99,18.0,107.6,1.51,77.01,62.21269396142489,2079.085817864126,4.20946463714784,13334.2653947637,3.462,9.5,0.785,1553148.0,121.7358333333333,72.83,74.33,48.5,8.65,6556.8
