Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
,2012,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
MAMUJU,134.34,134.76,134.57,134.7,134.35,134.98,136.8,138.18,137.56,137.27,137.65,138.24,-
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,134.01,135.77,137.57,138.65,138.73,142.05,144.47,144.74,142.03,138.56,139.43,140.74,-
KOTA TUAL,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,132.32,133.35,133.2,134.33,133.87,134.73,136.56,137.2,135.68,134.54,135.82,136.87,-
MANOKWARI,142.67,141.6,141.35,142.78,143.56,146.51,148.26,148.93,147.31,148.74,147.31,150.1,-
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,145.47,144.92,145.05,147.4,148.24,150.48,152.28,154.46,154.05,153.39,152.57,153.5,-
KOTA JAYAPURA,127.05,128.23,126.38,127.27,126.07,127.28,128.08,128.91,129.07,129.26,129.39,132.71,-
MERAUKE,-,-,-,-,-,-,-,-,-,-,-,-,-
TIMIKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,130.9,130.96,131.05,131.32,131.41,132.23,133.16,134.43,134.45,134.67,134.76,135.49,-
